"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement","genus","formation","stratgroup","member","time_bins","time_contain","time_major","time_buffer","time_overlap","primary_reference","created","modified"
"181208","occ","4279","","17451","Merycochoerus carrikeri","species","48252","recombined as","Promerycochoerus carrikeri","","species","50810","Harrisonian","","24.8","20.43","Alroy","2002","6294","Chordata","Mammalia","Artiodactyla","Merycoidodontidae","Promerycochoerus","","","1","specimens","-102.500000","43.299999","","AMNH Rosebud 7","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","20 specimens","","","","","""Harrison Fm."" fauna is regarded as ""late middle"" Arikareean, pre-Harrison sensu stricto by Stevens 1991<br>NISP 20 (est.)","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","","phosphatic","","","","Promerycochoerus","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:29","2002-06-03 02:35:29"
"181209","occ","4280","","17451","Desmatochoerus megalodon","species","45591","","Desmatochoerus megalodon","","species","48417","Harrisonian","","24.8","20.43","Alroy","2002","6294","Chordata","Mammalia","Artiodactyla","Merycoidodontidae","Desmatochoerus","","","1","specimens","-102.500000","43.299999","","AMNH Rosebud 7","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","20 specimens","","","","","""Harrison Fm."" fauna is regarded as ""late middle"" Arikareean, pre-Harrison sensu stricto by Stevens 1991<br>NISP 20 (est.)","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","","phosphatic","","","","Desmatochoerus","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:29","2002-06-03 02:35:29"
"181216","occ","","","17454","Nanotragulus n. sp. ordinatus","species","49000","","Nanotragulus ordinatus","","species","47207","Harrisonian","","24.8","20.43","Macdonald","1970","2356","Chordata","Mammalia","Artiodactyla","Hypertragulidae","Nanotragulus","","","1","specimens","-102.500000","43.299999","see Matthew 1907","AMNH Rosebud 14","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","1 specimens","","","","","","terrestrial","","actively mobile","ground dwelling","","frugivore","viviparous","","","phosphatic","","","","Nanotragulus","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. R. Macdonald. 1970. Review of the Miocene Wounded Knee faunas of southwestern South Dakota. Bulletin of the Los Angeles County Museum of Natural History, Science 8:165-82","2002-05-15 00:00:00","2002-05-15 02:00:00"
"181217","occ","4286","","17455","Palaeocastor nebrascensis","species","49639","","Palaeocastor nebrascensis","","species","51786","Harrisonian","","24.8","20.43","Alroy","2002","6294","Chordata","Mammalia","Rodentia","Castoridae","Palaeocastor","","","1","specimens","-102.500000","43.299999","","AMNH Rosebud 15","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","6 specimens","","","","","NISP 6 (est.)","terrestrial","","actively mobile","amphibious","","browser","viviparous","","","phosphatic","","","","Palaeocastor","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:29","2002-06-03 02:35:29"
"181218","occ","","","17455","Enhydrocyon crassidens","species","46083","","Enhydrocyon crassidens","","species","46083","Harrisonian","","24.8","20.43","Macdonald","1970","2356","Chordata","Mammalia","Carnivora","Canidae","Enhydrocyon","","","1","specimens","-102.500000","43.299999","","AMNH Rosebud 15","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","6 specimens","","","","","NISP 6 (est.)","terrestrial","","actively mobile","ground dwelling","","carnivore, omnivore","viviparous","","","phosphatic","","","","Enhydrocyon","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. R. Macdonald. 1970. Review of the Miocene Wounded Knee faunas of southwestern South Dakota. Bulletin of the Los Angeles County Museum of Natural History, Science 8:165-82","2002-05-15 00:00:00","2002-05-15 02:00:00"
"181219","occ","4287","","17455","Merycochoerus superbus","species","48269","recombined as","Promerycochoerus superbus","","species","49398","Harrisonian","","24.8","20.43","Alroy","2002","6294","Chordata","Mammalia","Artiodactyla","Merycoidodontidae","Promerycochoerus","","","","","-102.500000","43.299999","","AMNH Rosebud 15","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","6 specimens","","","","","NISP 6 (est.)","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","","phosphatic","","","","Promerycochoerus","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:29","2002-06-03 02:35:29"
"181220","occ","4288","","17455","Merycochoerus chelydra","species","48253","recombined as","Promerycochoerus chelydra","","species","48253","Harrisonian","","24.8","20.43","Alroy","2002","6294","Chordata","Mammalia","Artiodactyla","Merycoidodontidae","Promerycochoerus","","","1","specimens","-102.500000","43.299999","","AMNH Rosebud 15","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","6 specimens","","","","","NISP 6 (est.)","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","","phosphatic","","","","Promerycochoerus","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:29","2002-06-03 02:35:29"
"181221","occ","4289","","17455","Merycochoerus carrikeri","species","48252","recombined as","Promerycochoerus carrikeri","","species","50810","Harrisonian","","24.8","20.43","Alroy","2002","6294","Chordata","Mammalia","Artiodactyla","Merycoidodontidae","Promerycochoerus","","","1","specimens","-102.500000","43.299999","","AMNH Rosebud 15","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","6 specimens","","","","","NISP 6 (est.)","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","","phosphatic","","","","Promerycochoerus","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:29","2002-06-03 02:35:29"
"181222","occ","4290","","17455","Desmatochoerus megalodon","species","45591","","Desmatochoerus megalodon","","species","48417","Harrisonian","","24.8","20.43","Alroy","2002","6294","Chordata","Mammalia","Artiodactyla","Merycoidodontidae","Desmatochoerus","","","1","specimens","-102.500000","43.299999","","AMNH Rosebud 15","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","6 specimens","","","","","NISP 6 (est.)","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","","phosphatic","","","","Desmatochoerus","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:29","2002-06-03 02:35:29"
"181223","occ","4291","","17456","Leptocyon gregorii","species","47571","","Leptocyon gregorii","","species","49207","Harrisonian","","24.8","20.43","Alroy","2002","6294","Chordata","Mammalia","Carnivora","Canidae","Leptocyon","","","1","specimens","-102.500000","43.299999","","AMNH Rosebud 19","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","1 specimens","","","","","","terrestrial","","actively mobile","ground dwelling","","carnivore, omnivore","viviparous","","","phosphatic","","","","Leptocyon","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:29","2002-06-03 02:35:29"
