"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement","genus","formation","stratgroup","member","time_bins","time_contain","time_major","time_buffer","time_overlap","primary_reference","created","modified"
"184139","occ","","","18033","Aphelops n. sp. mutilus","species","44174","","Aphelops mutilus","","species","44174","Hemphillian","","10.3","4.9","Skinner et al.","1977","3175","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Aphelops","","","","","-103.800003","42.400002","","Aphelops Draw Quarries","","","US","Nebraska","Sioux","based on political unit","1","","Aphelops Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","""Aelurodon taxoides"" Wang et al. 1999: supposedly reworked specimen<br><br>""Leptocyon cf. vafer"" of Cook and Macdonald 1962 seems  extremely unlikely as there are no other Hemphillian  or even Clarendonian records of this genus; however,  Skinner et al. state that the type is from the  Johnson Mbr., as is the type of ""Tomarctus propter""","terrestrial","","actively mobile","ground dwelling","","browser","viviparous","","","phosphatic","","","","Aphelops","Snake Creek","","Johnson","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","M. F. Skinner, S. M. Skinner, and R. J. Gooris. 1977. Stratigraphy and biostratigraphy of late Cenozoic deposits in central Sioux County, western Nebraska. Bulletin of the American Museum of Natural History 158(5):263-370","2002-05-15 00:00:00","2002-05-15 02:00:00"
"184141","occ","","","18033","Dinohippus leidyanus","species","45784","","Dinohippus leidyanus","","species","50541","Hemphillian","","10.3","4.9","Skinner et al.","1977","3175","Chordata","Mammalia","Perissodactyla","Equidae","Dinohippus","","","","","-103.800003","42.400002","","Aphelops Draw Quarries","","","US","Nebraska","Sioux","based on political unit","1","","Aphelops Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","""Aelurodon taxoides"" Wang et al. 1999: supposedly reworked specimen<br><br>""Leptocyon cf. vafer"" of Cook and Macdonald 1962 seems  extremely unlikely as there are no other Hemphillian  or even Clarendonian records of this genus; however,  Skinner et al. state that the type is from the  Johnson Mbr., as is the type of ""Tomarctus propter""","terrestrial","","actively mobile","","","browser","viviparous","","","phosphatic","","","","Dinohippus","Snake Creek","","Johnson","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","M. F. Skinner, S. M. Skinner, and R. J. Gooris. 1977. Stratigraphy and biostratigraphy of late Cenozoic deposits in central Sioux County, western Nebraska. Bulletin of the American Museum of Natural History 158(5):263-370","2002-05-15 00:00:00","2002-05-15 02:00:00"
"184142","occ","5344","","18033","Merychyus major","species","48234","recombined as","Ustatochoerus major","","species","48234","Hemphillian","","10.3","4.9","Alroy","2002","6294","Chordata","Mammalia","Artiodactyla","Merycoidodontidae","Ustatochoerus","","","","","-103.800003","42.400002","","Aphelops Draw Quarries","","","US","Nebraska","Sioux","based on political unit","1","","Aphelops Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","""Aelurodon taxoides"" Wang et al. 1999: supposedly reworked specimen<br><br>""Leptocyon cf. vafer"" of Cook and Macdonald 1962 seems  extremely unlikely as there are no other Hemphillian  or even Clarendonian records of this genus; however,  Skinner et al. state that the type is from the  Johnson Mbr., as is the type of ""Tomarctus propter""","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","","phosphatic","","","","Ustatochoerus","Snake Creek","","Johnson","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:30","2002-06-03 02:35:30"
"184144","occ","","","18033","Texoceros n. sp. altidens","species","52230","","Texoceros altidens","","species","48275","Hemphillian","","10.3","4.9","Skinner et al.","1977","3175","Chordata","Mammalia","Artiodactyla","Antilocapridae","Texoceros","","","","","-103.800003","42.400002","includes additional material from ""Quarry No. 1"" of Frick 1937","Aphelops Draw Quarries","","","US","Nebraska","Sioux","based on political unit","1","","Aphelops Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","""Aelurodon taxoides"" Wang et al. 1999: supposedly reworked specimen<br><br>""Leptocyon cf. vafer"" of Cook and Macdonald 1962 seems  extremely unlikely as there are no other Hemphillian  or even Clarendonian records of this genus; however,  Skinner et al. state that the type is from the  Johnson Mbr., as is the type of ""Tomarctus propter""","terrestrial","","actively mobile","","","browser","viviparous","","","phosphatic","","","","Texoceros","Snake Creek","","Johnson","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","M. F. Skinner, S. M. Skinner, and R. J. Gooris. 1977. Stratigraphy and biostratigraphy of late Cenozoic deposits in central Sioux County, western Nebraska. Bulletin of the American Museum of Natural History 158(5):263-370","2002-05-15 00:00:00","2002-05-15 02:00:00"
"184145","occ","","","18034","Barbourofelis loveorum","species","44429","","Barbourofelis loveorum","","species","44428","Hemphillian","","10.3","4.9","Schultz","1990","6208","Chordata","Mammalia","Carnivora","Barbourofelidae","Barbourofelis","","","","","-99.800003","36.099998","""lovei""","Arnett","","Adair Ranch; Port-of-Entry Pit","US","Oklahoma","Ellis","based on political unit","1","","East Branch of Corn Creek","gp_mid","-96.71","37.93","101","US","","","","","","","Hemph","3","","bottom to top","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","probably includes Hopewell<br>about 14 m below prominent mortar bed (see Higgins)","terrestrial","","actively mobile","ground dwelling","","carnivore, omnivore","viviparous","","","phosphatic","","","","Barbourofelis","","","","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","G. E. Schultz. 1990. Stop 15: Early Hemphillian faunas of the Texas and Oklahoma panhandles.  In T. C. Gustavson (ed.), Tertiary and Quaternary stratigraphy and vertebrate paleontology of parts of northwestern Texas and eastern New Mexico; Guidebook - Bureau of Economic Geology, University of Texas at Austin","2002-05-15 00:00:00","2002-05-15 02:00:00"
"184147","occ","","","18034","Carpocyon limosus","species","44934","","Carpocyon limosus","","species","44934","Hemphillian","","10.3","4.9","Wang et al.","1999","3558","Chordata","Mammalia","Carnivora","Canidae","Carpocyon","","","","","-99.800003","36.099998","","Arnett","","Adair Ranch; Port-of-Entry Pit","US","Oklahoma","Ellis","based on political unit","1","","East Branch of Corn Creek","gp_mid","-96.71","37.93","101","US","","","","","","","Hemph","3","","bottom to top","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","probably includes Hopewell<br>about 14 m below prominent mortar bed (see Higgins)","terrestrial","","actively mobile","ground dwelling","","carnivore, omnivore","viviparous","","","phosphatic","","","","Carpocyon","","","","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392","2002-05-15 00:00:00","2002-05-15 02:00:00"
"184148","occ","5346","","18034","Epicyon haydeni","species","46206","","Epicyon haydeni","","species","44847","Hemphillian","","10.3","4.9","Alroy","2002","6294","Chordata","Mammalia","Carnivora","Canidae","Epicyon","","","","","-99.800003","36.099998","","Arnett","","Adair Ranch; Port-of-Entry Pit","US","Oklahoma","Ellis","based on political unit","1","","East Branch of Corn Creek","gp_mid","-96.71","37.93","101","US","","","","","","","Hemph","3","","bottom to top","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","probably includes Hopewell<br>about 14 m below prominent mortar bed (see Higgins)","terrestrial","","actively mobile","ground dwelling","","carnivore, omnivore","viviparous","","","phosphatic","","","","Epicyon","","","","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:30","2002-06-03 02:35:30"
"184149","occ","5347","","18034","Epicyon saevus","species","46210","","Epicyon saevus","","species","44881","Hemphillian","","10.3","4.9","Alroy","2002","6294","Chordata","Mammalia","Carnivora","Canidae","Epicyon","","","","","-99.800003","36.099998","","Arnett","","Adair Ranch; Port-of-Entry Pit","US","Oklahoma","Ellis","based on political unit","1","","East Branch of Corn Creek","gp_mid","-96.71","37.93","101","US","","","","","","","Hemph","3","","bottom to top","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","probably includes Hopewell<br>about 14 m below prominent mortar bed (see Higgins)","terrestrial","","actively mobile","ground dwelling","","carnivore, omnivore","viviparous","","","phosphatic","","","","Epicyon","","","","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:30","2002-06-03 02:35:30"
"184150","occ","5348","","18034","Gomphotherium obscurum","species","46693","","Gomphotherium obscurum","","species","47940","Hemphillian","","10.3","4.9","Fox and Fisher","2001","6247","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut","","","","","-99.800003","36.099998","","Arnett","","Adair Ranch; Port-of-Entry Pit","US","Oklahoma","Ellis","based on political unit","1","","East Branch of Corn Creek","gp_mid","-96.71","37.93","101","US","","","","","","","Hemph","3","","bottom to top","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","probably includes Hopewell<br>about 14 m below prominent mortar bed (see Higgins)","terrestrial","","actively mobile","ground dwelling","","browser","viviparous","","","phosphatic","","","","Mammut","","","","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","D. L. Fox and D. C. Fisher. 2001. Stable isotope ecology of a late Miocene population of Gomphotherium productus (Mammalia, Proboscidea) from Port of Entry Pit, Oklahoma, USA. Palaios 16:279-293","2002-06-03 00:35:30","2002-06-03 02:35:30"
"184159","occ","","","18034","Hipparion tehonense","species","47014","","Hipparion tehonense","","species","48969","Hemphillian","","10.3","4.9","Hulbert","1989","1952","Chordata","Mammalia","Perissodactyla","Equidae","Hipparion","","","","","-99.800003","36.099998","pers. commun.: ""H. sp.""","Arnett","","Adair Ranch; Port-of-Entry Pit","US","Oklahoma","Ellis","based on political unit","1","","East Branch of Corn Creek","gp_mid","-96.71","37.93","101","US","","","","","","","Hemph","3","","bottom to top","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","probably includes Hopewell<br>about 14 m below prominent mortar bed (see Higgins)","terrestrial","","actively mobile","","","browser","viviparous","","","phosphatic","","","","Hipparion","","","","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","R. C. Hulbert, Jr. 1989. Phylogenetic Interrelationships and Evolution of North American Late Equidae.  In D. R. Prothero and R. M. Schoch (eds.), The Evolution of Perissodactyls. Oxford University Press, USA.","2002-05-15 00:00:00","2002-05-15 02:00:00"
